,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,country
4023,nx1R-eHSkfM,17.04.12,The New Snapchat in 60 Seconds,Snapchat,10,2017-11-29T14:00:03.000Z,"new snapchat|""version 2""|""snap inc""|""brandnew""|""update""|""software""|""snap""|""new update""|""redesign""|""reorganize""|""Snapchat""",3206396,0,0,0,https://i.ytimg.com/vi/nx1R-eHSkfM/default.jpg,True,True,False,"Evan Spiegel, co-founder and CEO, explains the new Snapchat update! Coming soon. Learn more at https://www.snap.com/en-US/news/post/introducing-the-new-snapchat/",CA
4338,nx1R-eHSkfM,17.05.12,The New Snapchat in 60 Seconds,Snapchat,10,2017-11-29T14:00:03.000Z,"new snapchat|""version 2""|""snap inc""|""brandnew""|""update""|""software""|""snap""|""new update""|""redesign""|""reorganize""|""Snapchat""",3352913,0,0,0,https://i.ytimg.com/vi/nx1R-eHSkfM/default.jpg,True,True,False,"Evan Spiegel, co-founder and CEO, explains the new Snapchat update! Coming soon. Learn more at https://www.snap.com/en-US/news/post/introducing-the-new-snapchat/",CA
4369,ntNd77RIRLk,17.05.12,Intégrale - On n'est pas couché 2 décembre 2017 #ONPC,On n'est pas couché,24,2017-12-03T02:41:59.000Z,"onpc|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""2 decembre 2017""|""manuel valls""|""pierre palmade""|""joey starr""|""philippe manoeuvre""|""isabelle monnin""|""marc dugain""",120306,0,0,0,https://i.ytimg.com/vi/ntNd77RIRLk/default.jpg,True,True,False,Intégrale - On n'est pas couché 2 décembre 2017 #ONPC\n\nOn n'est pas couché \n2 décembre 2017\nLaurent Ruquier avec Christine Angot & Yann Moix \nFrance 2 #ONPC\n\nToutes les informations sur les invités et leur actualité https://www.france.tv/france-2/on-n-est-pas-couche/\n\nSuivez @ONPCofficiel et réagissez en direct avec le hashtag #ONPC \nhttps://twitter.com/ONPCofficiel\n\nContinuez le débat sur Facebook https://www.facebook.com/onpcF2,CA
4373,bUjlYfYDoeA,17.05.12,Deleted video,CBCDrama,24,2017-12-04T17:59:35.000Z,"سابع جار|""مسلسل سابع جار""|""sab3 gar""|""سابع جار سي بي سي""|""Cbc egypt""|""Cbc drama""|""مسلسلات""|""مشاهدة مسلسل""|""مشاهدة الحلقة""|""مسلسلات سي بي سي""|""مسلسلات cbc""|""دراما""|""مسلسلات cbc 2017""|""محمد فراج""|""نيقولا معوض""|""شيرين مسعودي""|""دلال عبد العزيز""|""نادين خان""|""هبة يسري""|""اسامة عباس""|""هاني عادل""|""محمود البزاوي""|""صفاء جلال""|""رحمة حسن""|""34 Sab3 Gar Episode""|""سابع جار الحلقة 34""|""مسلسل سابع جار الحلقة 34""|""مسلسل سابع جار الحلقة الرابعة والثلاثون""|""سابع جار الحلقة الرابعة والثلاثون""|""سابع جار 34""",431929,2545,264,1016,https://i.ytimg.com/vi/wpAmlGiQbiE/default.jpg,False,False,True,مسلسل سابع جار | الحلقة الرابعة والثلاثون | 34 Sab3 Gar Episode\n\nتدور أحداثها داخل عمارة تجمع بين عدد من الجيران من الطبقة\nالمتوسطة ذوي العالقات المتداخلة ، وتمثل تلخيصاً لواقع حياتنا ،\nوكيف يعتقد الكل أن حياة الاخرين أفضل من حياته ، وأن خلف هذه\nالابواب سعادة مطلقة ، في حين أن الحقيقة عكس ذلك تماما وأن\nوراء هذه الابواب أسرار ومشكلات تجعل حياة كل منهم أكثر تعقيداً\nمما يتصور الاخرون\nيمكنك متابعة أحدث المسلسلات هنا http://cbc.eg/HetoBc\nاشترك في قناتنا عبر اليوتيوب هنا http://cbc.eg/ZY9VHk\n\nتابعونا على\nWebsite : ‪http://network.cbc-eg.com/drama\nYouTube : http://www.youtube.com/CBCEgyptDrama\nFacebook : http://www.facebook.com/CBCEgypt.Drama\nGoogle+: http://www.google.com/+CBCEgypt.Drama\nTwitter : https://twitter.com/cbcdrama\n#CBCegy | #CBCDrama | #سابع _جار,CA
5460,RdMWIgZIPD8,17.11.12,【公式】劇場版ポケットモンスター ２０１８　特報,ポケモン公式YouTubeチャンネル,1,2017-12-11T01:00:00.000Z,"映画再生リスト|""ポケモン""|""Pokemon""|""Pokémon""|""ポケットモンスター""|""ピカチュウ""|""サトシ""|""サトピカ映画""|""映画""|""ポケモン映画""|""劇場版""|""劇場版ポケットモンスター""",270784,0,0,0,https://i.ytimg.com/vi/RdMWIgZIPD8/default.jpg,True,True,False,2018.7.13(金)公開 「劇場版ポケットモンスター　２０１８」\n映画公式サイト　http://www.pokemon-movie.jp/\n\n©Nintendo･Creatures･GAME FREAK･TV Tokyo･ShoPro･JR Kikaku \n©Pokémon ©2018 ピカチュウプロジェクト,CA
5685,RdMWIgZIPD8,17.12.12,【公式】劇場版ポケットモンスター ２０１８　特報,ポケモン公式YouTubeチャンネル,1,2017-12-11T01:00:00.000Z,"映画再生リスト|""ポケモン""|""Pokemon""|""Pokémon""|""ポケットモンスター""|""ピカチュウ""|""サトシ""|""サトピカ映画""|""映画""|""ポケモン映画""|""劇場版""|""劇場版ポケットモンスター""",1163333,0,0,0,https://i.ytimg.com/vi/RdMWIgZIPD8/default.jpg,True,True,False,2018.7.13(金)公開 「劇場版ポケットモンスター　２０１８」\n映画公式サイト　http://www.pokemon-movie.jp/\n\n©Nintendo･Creatures･GAME FREAK･TV Tokyo･ShoPro･JR Kikaku \n©Pokémon ©2018 ピカチュウプロジェクト,CA
7727,drYEWUHd9dQ,17.22.12,برنامه ویژه شب یلدا از تلویزیون بی‌بی‌سی,BBC Persian,25,2017-12-21T23:04:48.000Z,[none],10291,0,0,0,https://i.ytimg.com/vi/drYEWUHd9dQ/default.jpg,True,True,False,در آخرین روز فصل پاییز و در آستانه زمستان، تلویزیون فارسی بی‌بی‌سی برنامه ویژه‌ای برای شب یلدا ترتیب داده است. این برنامه را تماشا کنید: \n\nمشترک شويد: http://bit.ly/12wjlifC\nوبسايت ما: http://www.bbc.co.uk/persian/\nفيسبوک: https://www.facebook.com/bbcpersian\nتوييتر: https://twitter.com/bbcpersian\nگوگل پلاس: https://plus.google.com/1181902398236611944609/posts,CA
9726,8vnQoHPQeVg,18.01.01,Light up Dubai 2018 - Live Broadcast,DowntownDubai,24,2017-12-31T20:59:11.000Z,New Year's Eve Light Show Spectacular,474777,0,0,0,https://i.ytimg.com/vi/8vnQoHPQeVg/default.jpg,True,True,False,Witness as we #LightUp2018 & attempt an official Guinness World Records title this #MyDubaiNewYear in Downtown Dubai! Watch it live: www.MyDubaiNewYear.com,CA
10257,4PD8dRaM8Uc,18.04.01,Deleted video,SET India,24,2018-01-02T17:27:04.000Z,"true events|""extramarital affair""|""fight""|""set""|""tv serial""|""crime patrol""|""crime patrol satark""|""serials""|""sony tv""|""investigation""|""india""|""crime patrol dial 100""|""rape""|""indian television""|""anoop soni""|""reality""|""sony""|""hindi tv serial""|""sony entertainment television""|""sony liv""|""crime""|""setindia""|""dial 100""|""set india channel""|""crime series in india""|""hindi crime serials""|""Indian judiciary""|""Crime Patrol""|""crimes against women""|""Unreliable Employee""|""employee""",208914,1026,132,114,https://i.ytimg.com/vi/hbw2IQCRlDk/default.jpg,False,False,True,"Click here to subscribe to SonyLIV: http://www.sonyliv.com/signin\n\nClick here to watch full episodes of Crime Patrol Satark:  http://www.sonyliv.com/details/show/4615507371001/Crime-Patrol-Satark\n\nMore Useful Links :\nAlso get Sony LIV app on your mobile\nGoogle Play - https://play.google.com/store/apps/details?id=com.msmpl.livsportsphone\nITunes - https://itunes.apple.com/us/app/liv-sports/id879341352?ls=1&mt=8\nVisit us at : http://www.sonyliv.com\nLike us on Facebook : http://www.facebook.com/SonyLIV\nFollow us on Twitter : http://www.twitter.com/SonyLIV\n\nEpisode 883:\n------------------------\nThe office watchmen notice the main gate of the building and the door of the office open. He calls the office manager Rahul to know whether he has arrived in the office. Rahul tells him that he is still at his house and adds by telling that Accountant Vaibhav might have opened the door. The Watchmen calls Vaichab but he does not reply. Is Vaibhav dead? Watch this episode to find out.\n\nAbout Crime Patrol Satark: \n-------------------------------------------\nCrime Patrol Satark will attempt to look at the signs, the signals that are always there before these mindless crimes are committed. Instincts/Feelings/Signals that so often tell us that not everything is normal. May be, that signal/feeling/instinct is just not enough to believe it could result in a crime. Unfortunately, after the crime is committed, those same signals come haunting.",CA
10547,LJsbf7KNVCA,18.05.01,Deleted video,Torontomapleleafs951,17,2018-01-05T00:16:47.000Z,"Joe Thornton|""fights""|""Nazem Kadri""|""Toronto Maple Leafs""|""San Jose Sharks""|""Sharks""|""Leafs""|""NHL""|""Hockey""",17584,50,7,45,https://i.ytimg.com/vi/n4YzfOI_LEI/default.jpg,False,False,True,Joe Thornton fights Nazem Kadri - Sharks vs Leafs (01/04/18)\n\nSorry guys about Kenny Omega Vs Chris Jericho match. Vidoe was taken down.,CA
12011,7qmSwj8Pwys,18.15.01,Deleted video,PewDiePie,23,2018-01-13T18:46:44.000Z,"pewdiepie|""mad lad""",3954942,344105,7173,31539,https://i.ytimg.com/vi/RkvczNWh9ZM/default.jpg,False,False,True,|AD| Shop and save on the HONOR 7X Lucky Bag promo: https://goo.gl/Kdhbwy \n\nHeadphones::\nhttp://rzr.to/edgar\n\nChair::\nUSA & Asia: https://usa.clutchchairz.com/product/pewdiepie-edition-throttle-series/\nEurope: https://europe.clutchchairz.com/en/product/throttle-series-pewdiepie-edition/\nCanada: https://canada.clutchchairz.com/product/throttle-series-pewdiepie-edition/ ‎,CA
15318,SOeGkrOx0iA,18.31.01,Deleted video,Comedy Central UK,23,2018-01-30T12:20:27.000Z,"comedy central|""comedy central uk""|""the daily show""|""trevor noah""|""trump""|""donald trump""|""funny""|""hilarious""|""daily show""|""talk show""|""politics""|""political humour""|""new the daily show""|""daily show 2017""|""daily show episodes""|""piers morgan""|""comedy""|""central""|""uk""|""news""|""president""|""white house""|""piers morgan donald trump""|""donald trump controversy""|""president of the united states""|""president trump""|""presidential""|""interview""",426346,5458,332,670,https://i.ytimg.com/vi/ofRoCRKVMrw/default.jpg,False,False,True,"President Trump chats with his old pal and Celebrity Apprentice winner Piers Morgan, and it has come out that Donald Trump tried to fire Robert Mueller over a membership fee at a golf club.\n\nSubscribe to Comedy Central UK: http://bit.ly/1gaKaZO\nCheck out the Comedy Central UK website: http://bit.ly/1iBXF6j\n\nGet social with Comedy Central UK:\nTwitter:  https://twitter.com/ComedyCentralUK\nFacebook: https://www.facebook.com/comedycentraluk",CA
15412,0yE2ORkLxoA,18.01.02,Deleted video,Balitang Pinoy,22,2018-01-29T09:24:16.000Z,[none],148917,531,152,761,https://i.ytimg.com/vi/NTZkqSbxJx0/default.jpg,False,False,True,"SENATE HEARING January 29, 2018 | Sen. Dick Gordon | Bureau of Custom | P6.4 B shipment from china\n\nSenate Of The Philippines News\nPhilippines Government News\nBreaking News Today January 29, 2018\nPRESIDENT RODY DUTERTE NEWS \nCOMMISSION ON APPOINTMENTS\nSENATOR ANTONIO TRILLANES IV\nSenator PING LACSON\nSenator GRINGO HONASAN\nSenator JV EJERCITO\nSENATOR Franklin Drilon \nSENATOR Joel Villanueva\nSENATOR Vicente Sotto III\nSENATOR Panfilo Lacson \nSENATOR Richard Gordon\nSENATOR Miguel Zubiri \nSENATOR Manny Pacquiao \nSENATOR Francis Pangilinan \nSENATOR Risa Hontiveros\nSENATOR Sherwin Gatchalian \nSENATOR Ralph Recto \nSENATOR Leila de Lima\nTHINKING PINOY\nCARLOS MUN",CA
15415,UCSmH6OLPC4,18.01.02,Deleted video,The Graham Norton Show,24,2018-01-29T14:14:23.000Z,"Graham Norton|""Graham Norton Show Official""|""Entertainment""|""Chat Show""|""Graham Norton full episodes""|""the graham Norton show full eps""|""graham Norton full eps""|""watch graham Norton online""|""graham norton 2017""|""tom cruise""|""henry cavill""|""mission impossible""|""rebecca ferguson""|""simon pegg""|""tom cruise graham norton""|""mission impossible stunt""",321018,6008,62,399,https://i.ytimg.com/vi/fZcQah57jnY/default.jpg,False,False,True,...Welcome to Mission\nSubscribe for weekly updates: http://www.youtube.com/subscription_center?add_user=officialgrahamnorton,CA
15679,Onc2w3Vyj_8,18.02.02,Critical Role | Campaign 2 Episode 4,Geek & Sundry,24,2018-01-31T19:08:26.000Z,"geek and sundry|""geek & sundry""|""felicia day""|""the guild""|""charlie supernatural""",37562,0,0,0,https://i.ytimg.com/vi/Onc2w3Vyj_8/default_live.jpg,True,True,False,"Voice actor Matthew Mercer leads a group of fellow voice actors on epic Dungeons & Dragons campaigns. These familiar voices bring the audience into the full experience of D&D, allowing imaginations to soar as the characters embark on adventures. This is Critical Role!\n\nFor more RPGs we love, go to http://bit.ly/GS_RPG\n\nMusic and Sound by Syrinscape.\nhttps://store.syrinscape.com/what-is-syrinscape/?critatt\n\nVisit us on http://geekandsundry.com\nSubscribe to Geek and Sundry: http://goo.gl/B62jl\nJoin our community at: http://geekandsundry.com/community\nTwitter: http://twitter.com/geekandsundry\nFacebook: http://facebook.com/geekandsundry\nInstagram: http://instagram.com/geekandsundry\nGoogle+: https://plus.google.com/+GeekandSundry/",CA
15680,BKHNOxqsSiM,18.02.02,Deleted video,Geek & Sundry,24,2018-01-31T19:08:26.000Z,"geek and sundry|""geek & sundry""|""felicia day""|""the guild""|""charlie supernatural""",37562,0,0,0,https://i.ytimg.com/vi/Onc2w3Vyj_8/default_live.jpg,False,False,True,"Voice actor Matthew Mercer leads a group of fellow voice actors on epic Dungeons & Dragons campaigns. These familiar voices bring the audience into the full experience of D&D, allowing imaginations to soar as the characters embark on adventures. This is Critical Role!\n\nFor more RPGs we love, go to http://bit.ly/GS_RPG\n\nMusic and Sound by Syrinscape.\nhttps://store.syrinscape.com/what-is-syrinscape/?critatt\n\nVisit us on http://geekandsundry.com\nSubscribe to Geek and Sundry: http://goo.gl/B62jl\nJoin our community at: http://geekandsundry.com/community\nTwitter: http://twitter.com/geekandsundry\nFacebook: http://facebook.com/geekandsundry\nInstagram: http://instagram.com/geekandsundry\nGoogle+: https://plus.google.com/+GeekandSundry/",CA
15719,nx0RGHtP15U,18.02.02,Deleted video,Kia Motors America,2,2018-02-01T10:52:21.000Z,"Steven tyler|""fueled by youth""|""big game ad""|""football commercial""|""big game ad commercial""|""2018 big game ad""|""2018 kia stinger""|""kia stinger""|""stinger""|""sports car""|""2018 kia stinger gt""|""kia stinger gt""|""stinger gt""|""sports sedan""|""performance car""|""kia gt""|""kia sports car""|""kia sedan""|""new kia stinger""|""stinger kia""|""a state of mind""|""kia stinger gt2""|""2018 kia stinger gt2""|""big game commercial""",206006,1530,69,212,https://i.ytimg.com/vi/0YVbVXOjJv4/default.jpg,False,False,True,"With 365 horsepower, the new 2018 Kia Stinger is a legend in the making. But what happens when it comes face to face with another legend: rock and roll icon Steven Tyler? Watch as Steven and the Stinger defy history in Kia’s 2018 Big Game ad.\n\nDid our commercial make you feel something? Then vote for it, along with your other favorites, on USA Today Admeter! www.admeter.usatoday.com\n\nhttps://www.kia.com/us/en/vehicle/stinger/2018/overview \n\nGet social with Kia:\nhttp://facebook.com/kia \nhttp://twitter.com/kia \nhttps://plus.google.com/+kia/posts \nhttp://www.pinterest.com/kiamotorsusa/\nhttp://instagram.com/kiamotorsusa/",CA
16132,5BTToG-BvMc,18.04.02,Intégrale - On n'est pas couché 3 février 2018 #ONPC,On n'est pas couché,24,2018-02-04T02:25:41.000Z,"onpc|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""3 fevrier 2018""",6717,0,0,0,https://i.ytimg.com/vi/5BTToG-BvMc/default.jpg,True,True,False,Intégrale - On n'est pas couché 3 février 2018 #ONPC\n\nOn n'est pas couché \n3 février 2018\nLaurent Ruquier avec Christine Angot & Yann Moix \nFrance 2 #ONPC\n\nToutes les informations sur les invités et leur actualité https://www.france.tv/france-2/on-n-est-pas-couche/\n\nSuivez @ONPCofficiel et réagissez en direct avec le hashtag #ONPC \nhttps://twitter.com/ONPCofficiel\n\nContinuez le débat sur Facebook https://www.facebook.com/onpcF2,CA
